,step,energy,p0,p1,p2,p3,p4,p5,p6,p7,p8
26,26,-0.9927766107218376,2.1318785510669653,0.63,1.43,0.38,1.51,0.93,2.3646938032003253,2.56,2.01
27,27,-0.9934255983617546,2.131369982830955,0.63,1.43,0.38,1.51,0.93,2.3808018060641887,2.56,2.01
28,28,-0.9940729865916459,2.1308388527128965,0.63,1.43,0.38,1.51,0.93,2.3968913547380635,2.56,2.01
29,29,-0.9947180789292731,2.1302843612623876,0.63,1.43,0.38,1.51,0.93,2.412953745906735,2.56,2.01
30,30,-0.9953601651507864,2.129705699751547,0.63,1.43,0.38,1.51,0.93,2.4289800474630754,2.56,2.01
31,31,-0.9959985243707579,2.129102051516375,0.63,1.43,0.38,1.51,0.93,2.4449611192913867,2.56,2.01
32,32,-0.9966324283831568,2.1284725937288975,0.63,1.43,0.38,1.51,0.93,2.460887636466742,2.56,2.01
33,33,-0.9972611452417881,2.1278164994978384,0.63,1.43,0.38,1.51,0.93,2.4767501148314324,2.56,2.01
34,34,-0.9978839430532184,2.1271329402359034,0.63,1.43,0.38,1.51,0.93,2.492538938879139,2.56,2.01
35,35,-0.9985000939497689,2.1264210882539967,0.63,1.43,0.38,1.51,0.93,2.508244391844999,2.56,2.01
36,36,-0.9991088782049273,2.12568011955478,0.63,1.43,0.38,1.51,0.93,2.5238566878660174,2.56,2.01
37,37,-0.99970958844869,2.124909216804322,0.63,1.43,0.38,1.51,0.93,2.5393660060419867,2.56,2.01
38,38,-1.0003015339359975,2.1241075724636893,0.63,1.43,0.38,1.51,0.93,2.5547625261929663,2.56,2.01
39,39,-1.0008840448178504,2.1232743920636423,0.63,1.43,0.38,1.51,0.93,2.5700364660761976,2.56,2.01
40,40,-1.0014564763618696,2.1224088976059656,0.63,1.43,0.38,1.51,0.93,2.5851781197939068,2.56,2.01
41,41,-1.0020182130672985,2.121510331074824,0.63,1.43,0.38,1.51,0.93,2.6001778970945395,2.56,2.01
42,42,-1.002568672618713,2.120577958041263,0.63,1.43,0.38,1.51,0.93,2.6150263632444086,2.56,2.01
43,43,-1.003107309623189,2.1196110713436442,0.63,1.43,0.38,1.51,0.93,2.6297142791252086,2.56,2.01
44,44,-1.003633619077365,2.1186089948265527,0.63,1.43,0.38,1.51,0.93,2.6442326411960986,2.56,2.01
45,45,-1.0041471395137747,2.117571087120606,0.63,1.43,0.38,1.51,0.93,2.6585727209475998,2.56,2.01
46,46,-1.004647455779963,2.1164967454455543,0.63,1.43,0.38,1.51,0.93,2.672726103468926,2.56,2.01
47,47,-1.0051342014091922,2.1153854094191478,0.63,1.43,0.38,1.51,0.93,2.6866847247508447,2.56,2.01
48,48,-1.005607060547855,2.114236564854398,0.63,1.43,0.38,1.51,0.93,2.700440907352992,2.56,2.01
49,49,-1.0060657694119366,2.1130497475279975,0.63,1.43,0.38,1.51,0.93,2.7139873940776766,2.56,2.01
50,50,-1.00651011725272,2.1118245469027843,0.63,1.43,0.38,1.51,0.93,2.7273173793115544,2.56,2.01
51,51,-1.006939946820404,2.110560609787137,0.63,1.43,0.38,1.51,0.93,2.74042453772169,2.56,2.01
52,52,-1.0073551543228936,2.109257643914043,0.63,1.43,0.38,1.51,0.93,2.75330305002309,2.56,2.01
