,step,energy,p0,p1,p2,p3,p4,p5,p6,p7,p8
235,235,-1.0170422021013792,1.8496439297591334,0.63,1.43,0.38,1.51,0.93,3.349301702901038,2.56,2.01
236,236,-1.0170458745398727,1.8489299208824623,0.63,1.43,0.38,1.51,0.93,3.3502831283818493,2.56,2.01
237,237,-1.0170495069846284,1.848219654054923,0.63,1.43,0.38,1.51,0.93,3.3512590717382897,2.56,2.01
238,238,-1.017053100057074,1.8475130916659115,0.63,1.43,0.38,1.51,0.93,3.3522295889188802,2.56,2.01
239,239,-1.017056654365944,1.846810196674778,0.63,1.43,0.38,1.51,0.93,3.353194735017587,2.56,2.01
240,240,-1.017060170507611,1.8461109325993552,0.63,1.43,0.38,1.51,0.93,3.354154564291354,2.56,2.01
241,241,-1.0170636490663936,1.845415263504776,0.63,1.43,0.38,1.51,0.93,3.3551091301771794,2.56,2.01
242,242,-1.0170670906148547,1.844723153992566,0.63,1.43,0.38,1.51,0.93,3.356058485308759,2.56,2.01
243,243,-1.0170704957141028,1.8440345691900037,0.63,1.43,0.38,1.51,0.93,3.3570026815326965,2.56,2.01
244,244,-1.0170738649140734,1.8433494747397428,0.63,1.43,0.38,1.51,0.93,3.3579417699243086,2.56,2.01
245,245,-1.0170771987538034,1.8426678367896863,0.63,1.43,0.38,1.51,0.93,3.3588758008030264,2.56,2.01
246,246,-1.0170804977617076,1.841989621983107,0.63,1.43,0.38,1.51,0.93,3.3598048237474107,2.56,2.01
247,247,-1.017083762455827,1.841314797449007,0.63,1.43,0.38,1.51,0.93,3.3607288876097927,2.56,2.01
248,248,-1.017086993344093,1.8406433307927086,0.63,1.43,0.38,1.51,0.93,3.3616480405305476,2.56,2.01
249,249,-1.0170901909245627,1.839975190086671,0.63,1.43,0.38,1.51,0.93,3.3625623299520186,2.56,2.01
250,250,-1.0170933556856692,1.8393103438615266,0.63,1.43,0.38,1.51,0.93,3.363471802632095,2.56,2.01
251,251,-1.01709648810644,1.8386487610973288,0.63,1.43,0.38,1.51,0.93,3.3643765046574607,2.56,2.01
252,252,-1.0170995886567316,1.8379904112150087,0.63,1.43,0.38,1.51,0.93,3.365276481456516,2.56,2.01
253,253,-1.017102657797445,1.8373352640680303,0.63,1.43,0.38,1.51,0.93,3.366171777811992,2.56,2.01
254,254,-1.0171056959807352,1.8366832899342442,0.63,1.43,0.38,1.51,0.93,3.3670624378732548,2.56,2.01
255,255,-1.0171087036502169,1.8360344595079297,0.63,1.43,0.38,1.51,0.93,3.3679485051683176,2.56,2.01
256,256,-1.0171116812411722,1.8353887438920213,0.63,1.43,0.38,1.51,0.93,3.3688300226155676,2.56,2.01
257,257,-1.0171146291807383,1.8347461145905182,0.63,1.43,0.38,1.51,0.93,3.3697070325352114,2.56,2.01
258,258,-1.0171175478880967,1.8341065435010628,0.63,1.43,0.38,1.51,0.93,3.3705795766604516,2.56,2.01
259,259,-1.0171204377746617,1.8334700029076973,0.63,1.43,0.38,1.51,0.93,3.3714476961484,2.56,2.01
260,260,-1.0171232992442538,1.8328364654737777,0.63,1.43,0.38,1.51,0.93,3.372311431590738,2.56,2.01
261,261,-1.01712613269328,1.8322059042350543,0.63,1.43,0.38,1.51,0.93,3.3731708230241244,2.56,2.01
262,262,-1.0171289385108984,1.831578292592908,0.63,1.43,0.38,1.51,0.93,3.3740259099403667,2.56,2.01
263,263,-1.0171317170791818,1.8309536043077377,0.63,1.43,0.38,1.51,0.93,3.3748767312963546,2.56,2.01
264,264,-1.0171344687732833,1.8303318134924955,0.63,1.43,0.38,1.51,0.93,3.375723325523768,2.56,2.01
265,265,-1.0171371939615867,1.8297128946063699,0.63,1.43,0.38,1.51,0.93,3.376565730538564,2.56,2.01
266,266,-1.0171398930058604,1.8290968224486066,0.63,1.43,0.38,1.51,0.93,3.377403983750244,2.56,2.01
267,267,-1.0171425662614024,1.8284835721524666,0.63,1.43,0.38,1.51,0.93,3.3782381220709166,2.56,2.01
268,268,-1.0171452140771933,1.8278731191793187,0.63,1.43,0.38,1.51,0.93,3.3790681819241546,2.56,2.01
269,269,-1.0171478367960225,1.8272654393128618,0.63,1.43,0.38,1.51,0.93,3.379894199253653,2.56,2.01
270,270,-1.0171504347546314,1.8266605086534724,0.63,1.43,0.38,1.51,0.93,3.380716209531694,2.56,2.01
271,271,-1.0171530082838451,1.826058303612677,0.63,1.43,0.38,1.51,0.93,3.381534247767427,2.56,2.01
272,272,-1.0171555577087061,1.825458800907742,0.63,1.43,0.38,1.51,0.93,3.382348348514962,2.56,2.01
273,273,-1.0171580833485896,1.8248619775563837,0.63,1.43,0.38,1.51,0.93,3.383158545881289,2.56,2.01
274,274,-1.017160585517334,1.8242678108715902,0.63,1.43,0.38,1.51,0.93,3.383964873534019,2.56,2.01
275,275,-1.01716306452336,1.823676278456555,0.63,1.43,0.38,1.51,0.93,3.384767364708964,2.56,2.01
276,276,-1.0171655206697807,1.8230873581997173,0.63,1.43,0.38,1.51,0.93,3.3855660522175453,2.56,2.01
277,277,-1.0171679542545193,1.8225010282699103,0.63,1.43,0.38,1.51,0.93,3.3863609684540465,2.56,2.01
278,278,-1.0171703655704238,1.8219172671116104,0.63,1.43,0.38,1.51,0.93,3.38715214540271,2.56,2.01
279,279,-1.0171727549053637,1.821336053440286,0.63,1.43,0.38,1.51,0.93,3.3879396146446794,2.56,2.01
280,280,-1.0171751225423427,1.820757366237847,0.63,1.43,0.38,1.51,0.93,3.388723407364799,2.56,2.01
281,281,-1.0171774687595978,1.8201811847481857,0.63,1.43,0.38,1.51,0.93,3.3895035543582637,2.56,2.01
282,282,-1.0171797938307028,1.8196074884728135,0.63,1.43,0.38,1.51,0.93,3.390280086037133,2.56,2.01
283,283,-1.0171820980246595,1.8190362571665863,0.63,1.43,0.38,1.51,0.93,3.3910530324367065,2.56,2.01
284,284,-1.017184381605997,1.8184674708335204,0.63,1.43,0.38,1.51,0.93,3.3918224232217655,2.56,2.01
285,285,-1.0171866448348588,1.8179011097226907,0.63,1.43,0.38,1.51,0.93,3.3925882876926856,2.56,2.01
286,286,-1.017188887967101,1.8173371543242165,0.63,1.43,0.38,1.51,0.93,3.3933506547914236,2.56,2.01
287,287,-1.0171911112543732,1.816775585365329,0.63,1.43,0.38,1.51,0.93,3.394109553107378,2.56,2.01
288,288,-1.017193314944205,1.8162163838065164,0.63,1.43,0.38,1.51,0.93,3.394865010883132,2.56,2.01
289,289,-1.0171954992800962,1.8156595308377492,0.63,1.43,0.38,1.51,0.93,3.395617056020078,2.56,2.01
290,290,-1.0171976645015879,1.8151050078747812,0.63,1.43,0.38,1.51,0.93,3.3963657160839276,2.56,2.01
291,291,-1.0171998108443492,1.8145527965555244,0.63,1.43,0.38,1.51,0.93,3.3971110183101088,2.56,2.01
292,292,-1.0172019385402529,1.8140028787364966,0.63,1.43,0.38,1.51,0.93,3.3978529896090564,2.56,2.01
293,293,-1.0172040478174522,1.8134552364893397,0.63,1.43,0.38,1.51,0.93,3.398591656571394,2.56,2.01
294,294,-1.0172061389004554,1.8129098520974083,0.63,1.43,0.38,1.51,0.93,3.3993270454730125,2.56,2.01
295,295,-1.0172082120101946,1.8123667080524237,0.63,1.43,0.38,1.51,0.93,3.4000591822800508,2.56,2.01
296,296,-1.017210267364098,1.811825787051196,0.63,1.43,0.38,1.51,0.93,3.400788092653771,2.56,2.01
297,297,-1.0172123051761608,1.8112870719924088,0.63,1.43,0.38,1.51,0.93,3.401513801955343,2.56,2.01
298,298,-1.0172143256570114,1.8107505459734676,0.63,1.43,0.38,1.51,0.93,3.402236335250533,2.56,2.01
299,299,-1.0172163290139733,1.8102161922874096,0.63,1.43,0.38,1.51,0.93,3.4029557173142986,2.56,2.01
300,300,-1.0172183154511385,1.8096839944198737,0.63,1.43,0.38,1.51,0.93,3.403671972635297,2.56,2.01
301,301,-1.0172202851694188,1.809153936046129,0.63,1.43,0.38,1.51,0.93,3.404385125420302,2.56,2.01
302,302,-1.0172222383666127,1.808626001028159,0.63,1.43,0.38,1.51,0.93,3.40509519959854,2.56,2.01
303,303,-1.0172241752374698,1.8081001734118043,0.63,1.43,0.38,1.51,0.93,3.405802218825937,2.56,2.01
304,304,-1.0172260959737383,1.8075764374239576,0.63,1.43,0.38,1.51,0.93,3.406506206489288,2.56,2.01
305,305,-1.0172280007642311,1.8070547774698138,0.63,1.43,0.38,1.51,0.93,3.4072071857103463,2.56,2.01
306,306,-1.017229889794879,1.8065351781301715,0.63,1.43,0.38,1.51,0.93,3.4079051793498323,2.56,2.01
307,307,-1.0172317632487835,1.806017624158785,0.63,1.43,0.38,1.51,0.93,3.408600210011368,2.56,2.01
308,308,-1.0172336213062727,1.8055021004797676,0.63,1.43,0.38,1.51,0.93,3.4092923000453386,2.56,2.01
309,309,-1.0172354641449513,1.804988592185042,0.63,1.43,0.38,1.51,0.93,3.409981471552677,2.56,2.01
310,310,-1.0172372919397543,1.8044770845318392,0.63,1.43,0.38,1.51,0.93,3.410667746388582,2.56,2.01
311,311,-1.0172391048629905,1.8039675629402447,0.63,1.43,0.38,1.51,0.93,3.4113511461661643,2.56,2.01
312,312,-1.0172409030844,1.8034600129907878,0.63,1.43,0.38,1.51,0.93,3.4120316922600242,2.56,2.01
313,313,-1.0172426867711946,1.8029544204220778,0.63,1.43,0.38,1.51,0.93,3.4127094058097667,2.56,2.01
314,314,-1.0172444560881095,1.8024507711284832,0.63,1.43,0.38,1.51,0.93,3.4133843077234456,2.56,2.01
315,315,-1.0172462111974443,1.801949051157853,0.63,1.43,0.38,1.51,0.93,3.4140564186809508,2.56,2.01
316,316,-1.0172479522591096,1.8014492467092795,0.63,1.43,0.38,1.51,0.93,3.414725759137328,2.56,2.01
317,317,-1.017249679430672,1.8009513441309022,0.63,1.43,0.38,1.51,0.93,3.415392349326041,2.56,2.01
318,318,-1.0172513928673943,1.800455329917752,0.63,1.43,0.38,1.51,0.93,3.416056209262175,2.56,2.01
319,319,-1.0172530927222798,1.7999611907096338,0.63,1.43,0.38,1.51,0.93,3.416717358745577,2.56,2.01
320,320,-1.017254779146109,1.7994689132890471,0.63,1.43,0.38,1.51,0.93,3.417375817363948,2.56,2.01
321,321,-1.0172564522874832,1.7989784845791439,0.63,1.43,0.38,1.51,0.93,3.41803160449587,2.56,2.01
322,322,-1.0172581122928606,1.798489891641725,0.63,1.43,0.38,1.51,0.93,3.4186847393137865,2.56,2.01
323,323,-1.0172597593066004,1.7980031216752674,0.63,1.43,0.38,1.51,0.93,3.4193352407869257,2.56,2.01
324,324,-1.0172613934709909,1.7975181620129939,0.63,1.43,0.38,1.51,0.93,3.4199831276841737,2.56,2.01
325,325,-1.017263014926296,1.797035000120968,0.63,1.43,0.38,1.51,0.93,3.4206284185768934,2.56,2.01
326,326,-1.0172646238107819,1.7965536235962316,0.63,1.43,0.38,1.51,0.93,3.4212711318416984,2.56,2.01
327,327,-1.0172662202607612,1.796074020164968,0.63,1.43,0.38,1.51,0.93,3.421911285663175,2.56,2.01
328,328,-1.0172678044106156,1.7955961776807012,0.63,1.43,0.38,1.51,0.93,3.4225488980365575,2.56,2.01
329,329,-1.017269376392841,1.7951200841225246,0.63,1.43,0.38,1.51,0.93,3.4231839867703555,2.56,2.01
330,330,-1.017270936338078,1.7946457275933623,0.63,1.43,0.38,1.51,0.93,3.4238165694889378,2.56,2.01
331,331,-1.017272484375138,1.7941730963182587,0.63,1.43,0.38,1.51,0.93,3.424446663635069,2.56,2.01
332,332,-1.0172740206310404,1.7937021786426999,0.63,1.43,0.38,1.51,0.93,3.4250742864724053,2.56,2.01
333,333,-1.0172755452310411,1.793232963030961,0.63,1.43,0.38,1.51,0.93,3.4256994550879427,2.56,2.01
334,334,-1.0172770582986614,1.792765438064483,0.63,1.43,0.38,1.51,0.93,3.426322186394429,2.56,2.01
335,335,-1.0172785599557261,1.792299592440281,0.63,1.43,0.38,1.51,0.93,3.42694249713273,2.56,2.01
336,336,-1.0172800503223796,1.7918354149693716,0.63,1.43,0.38,1.51,0.93,3.4275604038741565,2.56,2.01
337,337,-1.0172815295171243,1.7913728945752354,0.63,1.43,0.38,1.51,0.93,3.428175923022754,2.56,2.01
338,338,-1.0172829976568445,1.7909120202923001,0.63,1.43,0.38,1.51,0.93,3.4287890708175515,2.56,2.01
339,339,-1.0172844548568345,1.790452781264451,0.63,1.43,0.38,1.51,0.93,3.4293998633347713,2.56,2.01
340,340,-1.0172859012308237,1.7899951667435663,0.63,1.43,0.38,1.51,0.93,3.430008316490005,2.56,2.01
341,341,-1.0172873368910063,1.7895391660880782,0.63,1.43,0.38,1.51,0.93,3.430614446040351,2.56,2.01
342,342,-1.017288761948064,1.7890847687615548,0.63,1.43,0.38,1.51,0.93,3.4312182675865173,2.56,2.01
343,343,-1.0172901765111932,1.7886319643313093,0.63,1.43,0.38,1.51,0.93,3.431819796574887,2.56,2.01
344,344,-1.017291580688127,1.7881807424670295,0.63,1.43,0.38,1.51,0.93,3.4324190482995522,2.56,2.01
345,345,-1.017292974585163,1.7877310929394317,0.63,1.43,0.38,1.51,0.93,3.4330160379043155,2.56,2.01
346,346,-1.0172943583071827,1.7872830056189357,0.63,1.43,0.38,1.51,0.93,3.433610780384654,2.56,2.01
347,347,-1.0172957319576799,1.7868364704743616,0.63,1.43,0.38,1.51,0.93,3.4342032905896542,2.56,2.01
348,348,-1.017297095638778,1.786391477571649,0.63,1.43,0.38,1.51,0.93,3.4347935832239154,2.56,2.01
349,349,-1.0172984494512582,1.785948017072596,0.63,1.43,0.38,1.51,0.93,3.4353816728494215,2.56,2.01
350,350,-1.0172997934945756,1.785506079233619,0.63,1.43,0.38,1.51,0.93,3.435967573887382,2.56,2.01
351,351,-1.0173011278668835,1.7850656544045318,0.63,1.43,0.38,1.51,0.93,3.436551300620043,2.56,2.01
352,352,-1.017302452665056,1.7846267330273466,0.63,1.43,0.38,1.51,0.93,3.4371328671924726,2.56,2.01
353,353,-1.017303767984706,1.7841893056350917,0.63,1.43,0.38,1.51,0.93,3.4377122876143096,2.56,2.01
354,354,-1.0173050739202083,1.7837533628506508,0.63,1.43,0.38,1.51,0.93,3.438289575761494,2.56,2.01
355,355,-1.017306370564715,1.7833188953856176,0.63,1.43,0.38,1.51,0.93,3.4388647453779635,2.56,2.01
356,356,-1.017307658010177,1.7828858940391716,0.63,1.43,0.38,1.51,0.93,3.4394378100773233,2.56,2.01
357,357,-1.017308936347369,1.7824543496969707,0.63,1.43,0.38,1.51,0.93,3.4400087833444926,2.56,2.01
358,358,-1.0173102056658958,1.7820242533300603,0.63,1.43,0.38,1.51,0.93,3.4405776785373217,2.56,2.01
359,359,-1.0173114660542244,1.7815955959938026,0.63,1.43,0.38,1.51,0.93,3.4411445088881876,2.56,2.01
360,360,-1.017312717599693,1.781168368826818,0.63,1.43,0.38,1.51,0.93,3.4417092875055593,2.56,2.01
361,361,-1.0173139603885282,1.7807425630499483,0.63,1.43,0.38,1.51,0.93,3.442272027375543,2.56,2.01
362,362,-1.017315194505872,1.7803181699652315,0.63,1.43,0.38,1.51,0.93,3.442832741363402,2.56,2.01
363,363,-1.0173164200357876,1.7798951809548973,0.63,1.43,0.38,1.51,0.93,3.443391442215051,2.56,2.01
364,364,-1.017317637061281,1.779473587480373,0.63,1.43,0.38,1.51,0.93,3.4439481425585305,2.56,2.01
365,365,-1.0173188456643216,1.7790533810813092,0.63,1.43,0.38,1.51,0.93,3.4445028549054557,2.56,2.01
366,366,-1.0173200459258465,1.778634553374618,0.63,1.43,0.38,1.51,0.93,3.4450555916524452,2.56,2.01
367,367,-1.0173212379257912,1.7782170960535268,0.63,1.43,0.38,1.51,0.93,3.445606365082525,2.56,2.01
368,368,-1.0173224217430956,1.7778010008866467,0.63,1.43,0.38,1.51,0.93,3.4461551873665144,2.56,2.01
369,369,-1.0173235974557187,1.777386259717056,0.63,1.43,0.38,1.51,0.93,3.4467020705643883,2.56,2.01
370,370,-1.0173247651406607,1.7769728644613942,0.63,1.43,0.38,1.51,0.93,3.44724702662662,2.56,2.01
371,371,-1.0173259248739694,1.7765608071089751,0.63,1.43,0.38,1.51,0.93,3.4477900673955024,2.56,2.01
372,372,-1.01732707673076,1.7761500797209093,0.63,1.43,0.38,1.51,0.93,3.4483312046064514,2.56,2.01
373,373,-1.0173282207852308,1.7757406744292408,0.63,1.43,0.38,1.51,0.93,3.4488704498892866,2.56,2.01
374,374,-1.0173293571106685,1.775332583436097,0.63,1.43,0.38,1.51,0.93,3.449407814769496,2.56,2.01
375,375,-1.0173304857794707,1.7749257990128526,0.63,1.43,0.38,1.51,0.93,3.44994331066948,2.56,2.01
376,376,-1.0173316068631584,1.7745203134993042,0.63,1.43,0.38,1.51,0.93,3.4504769489097753,2.56,2.01
377,377,-1.017332720432382,1.774116119302857,0.63,1.43,0.38,1.51,0.93,3.4510087407102654,2.56,2.01
378,378,-1.0173338265569423,1.7737132088977259,0.63,1.43,0.38,1.51,0.93,3.4515386971913675,2.56,2.01
379,379,-1.0173349253057982,1.7733115748241466,0.63,1.43,0.38,1.51,0.93,3.4520668293752057,2.56,2.01
380,380,-1.0173360167470837,1.7729112096875976,0.63,1.43,0.38,1.51,0.93,3.4525931481867653,2.56,2.01
381,381,-1.017337100948116,1.7725121061580376,0.63,1.43,0.38,1.51,0.93,3.4531176644550308,2.56,2.01
382,382,-1.017338177975407,1.7721142569691481,0.63,1.43,0.38,1.51,0.93,3.4536403889141063,2.56,2.01
383,383,-1.0173392478946808,1.7717176549175933,0.63,1.43,0.38,1.51,0.93,3.454161332204321,2.56,2.01
384,384,-1.0173403107708783,1.7713222928622858,0.63,1.43,0.38,1.51,0.93,3.4546805048733176,2.56,2.01
385,385,-1.0173413666681759,1.7709281637236662,0.63,1.43,0.38,1.51,0.93,3.4551979173771232,2.56,2.01
386,386,-1.017342415649988,1.770535260482992,0.63,1.43,0.38,1.51,0.93,3.4557135800812095,2.56,2.01
387,387,-1.0173434577789875,1.7701435761816362,0.63,1.43,0.38,1.51,0.93,3.456227503261533,2.56,2.01
388,388,-1.0173444931171094,1.7697531039203973,0.63,1.43,0.38,1.51,0.93,3.456739697105561,2.56,2.01
389,389,-1.0173455217255631,1.7693638368588194,0.63,1.43,0.38,1.51,0.93,3.4572501717132864,2.56,2.01
390,390,-1.0173465436648477,1.768975768214519,0.63,1.43,0.38,1.51,0.93,3.4577589370982236,2.56,2.01
391,391,-1.0173475589947536,1.7685888912625265,0.63,1.43,0.38,1.51,0.93,3.4582660031883914,2.56,2.01
392,392,-1.0173485677743799,1.7682031993346323,0.63,1.43,0.38,1.51,0.93,3.4587713798272843,2.56,2.01
393,393,-1.017349570062144,1.767818685818745,0.63,1.43,0.38,1.51,0.93,3.4592750767748277,2.56,2.01
394,394,-1.0173505659157849,1.7674353441582584,0.63,1.43,0.38,1.51,0.93,3.4597771037083187,2.56,2.01
