,step,energy,d0,d1,d2,p3,p4,p5,p6,p7,p8,p9,p10,p11
14,14,-2.081601537437006,0.2364652018601118,0.10798450327747947,0.22604605881026468,0.3576570257127375,2.5614484182840234,2.9306283512386693,0.5045214095299463,2.3564849516135555,0.7944504011116896,0.16,1.3024673179300181,0.3
15,15,-2.0854805738616853,0.2094436791535474,0.09370957088756238,0.19991356869882382,0.35739252522362375,2.559424854231546,2.9296744529045267,0.5038854204711282,2.3562426448483156,0.7948498147684261,0.16,1.3005573155893624,0.3
16,16,-2.0886793304683007,0.18492732856934754,0.08073921970241192,0.1762026675963193,0.3571174809266213,2.557342753428376,2.9287025822310837,0.5032222285545965,2.356013245354033,0.7952495994125814,0.16,1.298595481918214,0.3
17,17,-2.0913146810109744,0.1627023112532693,0.06895449398368408,0.154705315583323,0.3568324985186708,2.555209535460409,2.9277165569941315,0.5025333009405989,2.355798404504854,0.7956479586402283,0.16,1.2965894125623196,0.3
18,18,-2.0934846505775777,0.14256771778094957,0.05824692161356707,0.13522663879829228,0.3565381749924276,2.553032288716013,2.9267199714283976,0.5018200898105508,2.3555995976640864,0.7960432186830032,0.16,1.2945463353345399,0.3
19,19,-2.095271015485281,0.12433633045707382,0.04851771417361006,0.11758545810614479,0.35623509275563586,2.5508177108310184,2.925716175277049,0.501084015977386,2.3554181263779226,0.7964338347368821,0.16,1.292473049870632,0.3
20,20,-2.0967417033688243,0.10783482161733207,0.03967698884484425,0.10161432406106477,0.3559238153155157,2.5485720711614333,2.9247082627355567,0.5003264567525291,2.3552551233463026,0.7968183935993971,0.16,1.2903758905686904,0.3
21,21,-2.0979529440714395,0.09290355083565482,0.03164302533515101,0.08715920561394515,0.3556048842502924,2.546301191005084,2.9236990692328155,0.49954873732134436,2.355111559555715,0.797195613292364,0.16,1.288260708230709,0.3
22,22,-2.09895115615925,0.07939608855216743,0.024341565530592423,0.07407894681916193,0.355278817220338,2.544010437736465,2.9226911742412844,0.4987521249563539,2.3549882530152706,0.7975643403006756,0.16,1.2861328663009282,0.3
23,23,-2.099774575182494,0.06717856334019615,0.017705159740035625,0.0622445778840246,0.35494610680539085,2.5417047295433006,2.9216869085764268,0.49793782548790844,2.354885878601963,0.7979235449936212,0.16,1.283997248160516,0.3
24,24,-2.1004546419693493,0.056128905187683646,0.011672560792674234,0.05153854431121704,0.35460721998793654,2.5393885479875724,2.9206883649075293,0.4971069815428895,2.354804978589801,0.7982723157223678,0.16,1.2818582725142496,0.3
25,25,-2.1010171752270965,0.04613603743465464,0.00618816551051031,0.041853900112420246,0.3542625981338492,2.5370659561163484,2.919697410442328,0.49626067214649505,2.3547459735065885,0.7986098520123943,0.16,1.279719914446817,0.3
26,26,-2.1014833547406053,0.03709905471655902,0.0012015019590374846,0.03309349740621416,0.35391265734879324,2.5347406202972818,2.9187157009597344,0.4953999133569741,2.354709173028423,0.7989354571974966,0.16,1.2775857302108045,0.3
27,27,-2.101870541056819,0.028926412652695598,-0.0033332398048314038,0.025169194405533238,0.3535577891123792,2.5324158343418657,2.9177446955463373,0.49452565966733514,2.3546947866831016,0.7992485307754491,0.16,1.2754588842264227,0.3
28,28,-2.1021929557858225,0.02153514635876882,-0.007457636150746786,0.018001096156554455,0.3531983611117945,2.5300945448062246,2.9167856715441403,0.4936388059618473,2.354702934188216,0.799548560706144,0.16,1.2733421771242843,0.3
